date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 21:52:54.572584,54,52.216.101.91,80,1.0,3771703840,1,1,,1,ack
2018-11-26 21:52:57.281584,295,52.119.196.87,443,3.0,0,1,1,23,1,expected
2018-11-26 21:52:57.334388,54,52.119.196.87,443,1.0,3771853030,1,1,,1,ack
2018-11-26 21:53:00.847627,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:00.848189,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:00.848621,1514,52.94.235.50,443,1.0,3771853031,1,1,,1,not_relevant
2018-11-26 21:53:00.848667,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:53:00.848873,342,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:00.891526,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:00.894019,74,54.239.26.255,443,1.0,3771852345,0,1,,1,retransmit
2018-11-26 21:53:00.902978,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:00.934088,1514,52.94.235.50,443,1.0,85,1,1,,1,not_relevant
2018-11-26 21:53:00.935743,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-26 21:53:00.935789,1160,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:00.936501,54,54.239.26.255,443,1.0,42,1,1,,1,ack
2018-11-26 21:53:00.937828,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-26 21:53:00.951076,1514,52.94.235.50,443,1.0,15,1,1,,1,not_relevant
2018-11-26 21:53:00.984094,1514,52.94.235.50,443,1.0,33,1,1,,1,not_relevant
2018-11-26 21:53:00.984858,1510,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:00.985446,54,54.239.26.255,443,1.0,48,1,1,,1,ack
2018-11-26 21:53:00.985999,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-26 21:53:00.998714,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.013181,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.038978,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.048195,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.069540,54,52.94.235.50,443,1.0,85,1,1,,1,ack
2018-11-26 21:53:01.072295,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.082545,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.096479,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.110815,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.126163,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:53:01.126665,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
