date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-05 20:55:29.972672,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-05 20:55:30.047772,54,52.94.227.146,443,1.0,-1817876644,1,1,,1,ack
2018-11-05 20:55:30.130827,66,13.35.87.104,80,1.0,-1817847203,1,1,,1,ack
2018-11-05 20:55:30.147716,54,52.216.168.99,80,1.0,-1818027963,1,1,,1,ack
2018-11-05 20:55:32.151263,54,52.216.168.99,80,1.0,2003,1,1,,1,ack
2018-11-05 20:55:32.209856,66,13.35.87.104,80,1.0,2079,1,1,,1,ack
2018-11-05 20:55:36.163338,54,52.216.168.99,80,1.0,4012,1,1,,1,ack
2018-11-05 20:55:36.380953,66,13.35.87.104,80,1.0,4171,1,1,,1,ack
2018-11-05 20:55:38.325759,74,72.21.214.79,80,1.0,-1817842852,0,1,,1,retransmit
2018-11-05 20:55:38.366684,54,72.21.214.79,80,1.0,40,1,1,,1,ack
2018-11-05 20:55:38.368129,211,72.21.214.79,80,3.0,0,1,1,,1,not_relevant
2018-11-05 20:55:38.411211,54,72.21.214.79,80,1.0,44,1,1,,1,ack
2018-11-05 20:55:42.826397,54,52.94.227.146,443,1.0,12778,1,1,,1,ack
2018-11-05 20:55:42.827012,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-05 20:55:44.183444,54,52.216.168.99,80,1.0,8020,1,1,,1,ack
2018-11-05 20:55:44.722410,66,13.35.87.104,80,1.0,8341,1,1,,1,ack
2018-11-05 20:55:49.310448,288,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.311046,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.311144,1078,52.94.227.146,443,1.0,6484,1,1,,1,not_relevant
2018-11-05 20:55:49.311177,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.311614,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.311657,294,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.311684,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.311863,180,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.351175,74,54.239.29.0,443,1.0,-1817834442,0,1,,1,retransmit
2018-11-05 20:55:49.353428,1078,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.354750,1078,52.94.227.146,443,1.0,43,1,1,,1,not_relevant
2018-11-05 20:55:49.354795,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.355909,1078,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-11-05 20:55:49.355951,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.360880,1078,52.94.227.146,443,1.0,4,1,1,,1,not_relevant
2018-11-05 20:55:49.392528,54,54.239.29.0,443,1.0,41,1,1,,1,ack
2018-11-05 20:55:49.394307,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-05 20:55:49.395173,218,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.439235,54,54.239.29.0,443,1.0,46,1,1,,1,ack
2018-11-05 20:55:49.439389,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-05 20:55:49.453737,1078,52.94.227.146,443,1.0,92,1,1,,1,not_relevant
2018-11-05 20:55:49.453783,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.453815,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.453851,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.454533,972,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.496252,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.497221,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.507795,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.516644,54,52.94.227.146,443,1.0,62,1,1,,1,ack
2018-11-05 20:55:49.519699,766,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.526959,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.555262,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.569999,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-05 20:55:49.570301,54,54.239.29.0,443,1.0,131,1,1,,1,ack
2018-11-05 20:55:49.575773,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.589772,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.604028,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.609638,54,54.239.29.0,443,1.0,39,1,1,,1,ack
2018-11-05 20:55:49.638690,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.652798,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.666841,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.688173,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.715746,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.730341,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.750735,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.764812,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.803232,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.813932,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.817192,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.817621,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.819362,1078,52.94.227.146,443,1.0,302,1,1,,1,not_relevant
2018-11-05 20:55:49.819727,1078,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:55:49.852681,1078,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.854107,353,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.877175,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.891130,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.912288,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.925868,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.953712,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.975041,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:49.988766,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:50.004103,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:55:50.039157,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
