date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-12-02 04:56:38.673948,66,13.249.94.107,80,1.0,459001723,1,1,,1,ack
2018-12-02 04:56:42.249404,295,205.251.243.55,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:42.291053,54,205.251.243.55,443,1.0,459211266,1,1,,1,ack
2018-12-02 04:56:46.391654,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.396344,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.397294,1514,52.94.229.122,443,1.0,459212832,1,1,,1,not_relevant
2018-12-02 04:56:46.397347,1286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.398661,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.439335,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.444389,1514,52.94.229.122,443,1.0,47,1,1,,1,not_relevant
2018-12-02 04:56:46.447322,1514,52.94.229.122,443,1.0,2,1,1,,1,not_relevant
2018-12-02 04:56:46.447753,454,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.460030,74,54.239.26.255,443,1.0,459212435,0,1,,1,retransmit
2018-12-02 04:56:46.495522,1514,52.94.229.122,443,1.0,48,1,1,,1,not_relevant
2018-12-02 04:56:46.496416,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:56:46.498890,1510,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.499244,54,54.239.26.255,443,1.0,39,1,1,,1,ack
2018-12-02 04:56:46.500722,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-12-02 04:56:46.516689,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.543102,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.544881,54,54.239.26.255,443,1.0,45,1,1,,1,ack
2018-12-02 04:56:46.545202,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.545359,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-12-02 04:56:46.558663,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.568832,54,52.94.229.122,443,1.0,72,1,1,,1,ack
2018-12-02 04:56:46.593639,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.607535,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.628892,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.639086,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.644185,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:56:46.676572,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
