date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-05 21:37:56.251983,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-05 21:38:16.872686,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:16.873248,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:16.873931,1514,52.94.235.50,443,1.0,-1722781024,1,1,,1,not_relevant
2018-11-05 21:38:16.873976,1471,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:16.874045,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:16.875128,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:16.917067,74,52.94.232.195,443,1.0,-1722795477,0,1,,1,retransmit
2018-11-05 21:38:16.918874,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:16.919945,1514,52.94.235.50,443,1.0,46,1,1,,1,not_relevant
2018-11-05 21:38:16.921395,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-05 21:38:16.921435,547,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:16.958153,54,52.94.232.195,443,1.0,41,1,1,,1,ack
2018-11-05 21:38:16.964008,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-05 21:38:16.989252,1514,52.94.235.50,443,1.0,67,1,1,,1,not_relevant
2018-11-05 21:38:16.991161,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-05 21:38:16.991235,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:38:16.991250,652,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.003700,54,52.94.232.195,443,1.0,45,1,1,,1,ack
2018-11-05 21:38:17.004086,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-05 21:38:17.014698,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.029250,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.042714,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.047825,54,52.94.235.50,443,1.0,56,1,1,,1,ack
2018-11-05 21:38:17.055888,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.090747,766,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.090975,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.104549,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.125615,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.139684,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.167909,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.188482,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.202781,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.216388,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.232666,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-05 21:38:17.232874,54,52.94.232.195,443,1.0,229,1,1,,1,ack
2018-11-05 21:38:17.251302,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.265393,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.273262,54,52.94.232.195,443,1.0,40,1,1,,1,ack
2018-11-05 21:38:17.279292,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.299298,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.327992,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.349391,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.369166,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.377100,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.392102,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.392833,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.398246,1514,52.94.235.50,443,1.0,350,1,1,,1,not_relevant
2018-11-05 21:38:17.399756,1174,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:38:17.415755,292,52.94.235.50,443,3.0,0,1,1,23,1,expected
