date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 03:31:41.708987,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 03:31:44.426807,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.427198,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.427238,1514,52.94.235.50,443,1.0,1839241614,1,1,,1,not_relevant
2018-11-27 03:31:44.427443,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:31:44.427465,839,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.469932,74,54.239.29.0,443,1.0,1840999068,0,1,,1,retransmit
2018-11-27 03:31:44.470389,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.478109,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.479160,1514,52.94.235.50,443,1.0,51,1,1,,1,not_relevant
2018-11-27 03:31:44.479191,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:31:44.479520,1445,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.522454,54,54.239.29.0,443,1.0,52,1,1,,1,ack
2018-11-27 03:31:44.524132,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 03:31:44.524152,1514,52.94.235.50,443,1.0,44,1,1,,1,not_relevant
2018-11-27 03:31:44.524704,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:31:44.525031,1472,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.537539,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.551684,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.565472,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.569626,54,54.239.29.0,443,1.0,47,1,1,,1,ack
2018-11-27 03:31:44.570049,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-27 03:31:44.586010,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.613214,54,52.94.235.50,443,1.0,88,1,1,,1,ack
2018-11-27 03:31:44.616027,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.634881,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.649248,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.656003,765,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.663159,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.699193,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.708240,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-27 03:31:44.708455,54,54.239.29.0,443,1.0,138,1,1,,1,ack
2018-11-27 03:31:44.712320,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.746315,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.747046,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.750299,54,54.239.29.0,443,1.0,41,1,1,,1,ack
2018-11-27 03:31:44.775363,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.790102,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:31:44.810238,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
