date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 00:18:54.051190,54,52.216.1.96,80,1.0,1829849775,1,1,,1,ack
2018-11-27 00:18:57.477509,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.477682,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.483541,1514,52.94.235.50,443,1.0,1829847924,1,1,,1,not_relevant
2018-11-27 00:18:57.484375,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:18:57.484404,721,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.484421,74,54.239.26.255,443,1.0,1829706352,0,1,,1,retransmit
2018-11-27 00:18:57.485732,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.487167,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.490116,192,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.515480,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.515798,1514,52.94.235.50,443,1.0,31,1,1,,1,not_relevant
2018-11-27 00:18:57.520294,1514,52.94.235.50,443,1.0,4,1,1,,1,not_relevant
2018-11-27 00:18:57.521755,1168,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.534947,54,54.239.26.255,443,1.0,50,1,1,,1,ack
2018-11-27 00:18:57.536295,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 00:18:57.562105,1514,52.94.235.50,443,1.0,41,1,1,,1,not_relevant
2018-11-27 00:18:57.562384,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:18:57.563901,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 00:18:57.563942,1052,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.582187,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.582396,54,54.239.26.255,443,1.0,47,1,1,,1,ack
2018-11-27 00:18:57.582486,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-27 00:18:57.596047,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.610430,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.623798,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.656753,54,52.94.235.50,443,1.0,92,1,1,,1,ack
2018-11-27 00:18:57.658520,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.661694,768,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.672536,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.693087,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.707509,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 00:18:57.707631,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.707712,54,54.239.26.255,443,1.0,125,1,1,,1,ack
2018-11-27 00:18:57.735316,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.746085,54,54.239.26.255,443,1.0,38,1,1,,1,ack
2018-11-27 00:18:57.756193,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.770248,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.784433,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.819188,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.833828,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.847500,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.868165,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.906862,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.917232,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.931002,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.948083,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.983318,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.983806,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.983889,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.985650,1514,52.94.235.50,443,1.0,328,1,1,,1,not_relevant
2018-11-27 00:18:57.985712,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:18:57.985746,424,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.985776,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:18:57.986017,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
