date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-26 21:30:54.768631,295,52.119.196.87,443,3.0,0,1,1,23,1,expected
2018-11-26 21:30:54.808981,54,52.119.196.87,443,1.0,-11643754,1,1,,1,ack
2018-11-26 21:31:02.077848,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.078832,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.078944,1514,52.94.235.50,443,1.0,-11465626,1,1,,1,not_relevant
2018-11-26 21:31:02.078962,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:31:02.079000,122,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.127064,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.127383,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.129444,1514,52.94.235.50,443,1.0,50,1,1,,1,not_relevant
2018-11-26 21:31:02.129526,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:31:02.129569,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:31:02.129586,886,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.129973,74,52.94.232.195,443,1.0,-11468178,0,1,,1,retransmit
2018-11-26 21:31:02.161410,54,52.94.235.50,443,1.0,31,1,1,,1,ack
2018-11-26 21:31:02.246294,1514,52.94.235.50,443,1.0,84,1,1,,1,not_relevant
2018-11-26 21:31:02.246974,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:31:02.246998,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.247015,54,52.94.232.195,443,1.0,117,1,1,,1,ack
2018-11-26 21:31:02.247708,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 21:31:02.251860,54,52.94.235.50,443,1.0,4,1,1,,1,ack
2018-11-26 21:31:02.252074,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-26 21:31:02.381727,952,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.382177,54,52.94.232.195,443,1.0,135,1,1,,1,ack
2018-11-26 21:31:02.382916,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-26 21:31:02.393114,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.406978,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.442436,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.456853,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.468174,765,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.471149,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.492869,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.514853,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-26 21:31:02.515092,54,52.94.232.195,443,1.0,132,1,1,,1,ack
2018-11-26 21:31:02.519029,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.533048,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.554933,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.555091,54,52.94.232.195,443,1.0,39,1,1,,1,ack
2018-11-26 21:31:02.567878,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.582798,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.592113,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.593626,1514,52.94.235.50,443,1.0,341,1,1,,1,not_relevant
2018-11-26 21:31:02.624008,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.625149,181,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.634199,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.652452,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.680153,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.693977,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.714931,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:31:02.729657,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
